parent_term,count,label
ENVO:01000813,295543,astronomical body part
RO:0002577,120049,system
ENVO:01001784,110049,compound astronomical body part
ENVO:01000254,107860,environmental system
ENVO:00010483,99959,environmental material
ENVO:01001110,72488,ecosystem
ENVO:01001477,65102,liquid astronomical body part
ENVO:01001479,65102,fluid astronomical body part
ENVO:01000685,57615,water mass
ENVO:01001476,57615,body of liquid
ENVO:00000063,57488,water body
ENVO:00000191,42725,solid astronomical body part
ENVO:00001998,39295,soil
ENVO:02000140,33354,fluid environmental material
ENVO:01001886,32801,landform
ENVO:01000313,31976,anthropogenic environment
ENVO:01000815,31952,liquid environmental material
ENVO:00002006,31897,liquid water
ENVO:01000618,28610,lotic water body
ENVO:00000029,28606,watercourse
ENVO:00000428,26043,biome
ENVO:01001884,24585,surface landform
ENVO:01001828,24475,anthropised ecosystem
ENVO:01000617,23661,lentic water body
ENVO:01000408,23429,environmental zone
ENVO:01001199,23404,terrestrial environmental zone
ENVO:01000997,22229,environmental system determined by a quality
ENVO:00000077,21315,agricultural ecosystem
ENVO:01001305,20963,vegetated area
ENVO:01000352,20684,field
ENVO:01001790,18957,terrestrial ecosystem
ENVO:00000023,18230,stream
ENVO:01000281,18148,layer
ENVO:00000000,16276,geographic feature
ENVO:00000109,15957,woodland area
ENVO:01001201,15338,marine environmental zone
ENVO:00000114,14601,agricultural field
ENVO:00000316,13807,intertidal zone
ENVO:01001813,13688,construction
ENVO:00000070,13591,human construction
ENVO:00000111,13061,forested area
ENVO:01001787,12632,aquatic ecosystem
ENVO:00002030,12359,aquatic biome
ENVO:00000012,12189,hydrographic feature
ENVO:00000078,11467,farm
ENVO:00001999,10759,marine water body
ENVO:01001684,10757,interface layer
ENVO:00010504,10623,surface layer
ENVO:00003074,10466,manufactured product
ENVO:01000060,10465,particulate environmental material
ENVO:00000020,10344,lake
ENVO:0010001,10018,anthropogenic environmental material
ENVO:01001275,9923,solid layer
ENVO:00002007,9905,sediment
ENVO:00002010,9841,saline water
BFO:0000140,9759,continuant fiat boundary
ENVO:00000486,9759,shoreline
BFO:0000146,9759,two-dimensional continuant fiat boundary
BFO:0000141,9759,immaterial entity
ENVO:00000027,9595,spring
ENVO:00000446,9592,terrestrial biome
ENVO:00002149,9416,sea water
ENVO:01001319,9290,saline water body
ENVO:01001311,9197,solid surface layer
ENVO:00002044,9104,sludge
ENVO:01001483,8920,surface of an astronomical body
ENVO:00000117,8908,plantation
ENVO:00002264,8881,waste material
ENVO:01001816,8285,biomaterial containment unit
ENVO:00000309,8280,depressed landform
ENVO:2100000,8162,anatomical entity environment
ENVO:01001308,8061,hydroform
ENVO:01001243,7951,forest ecosystem
ENVO:01000320,7831,marine environment
ENVO:01001788,7684,marine ecosystem
ENVO:00000447,7664,marine biome
ENVO:00005801,7607,rhizosphere
ENVO:00002046,7420,activated sludge
ENVO:00002259,7314,agricultural soil
ENVO:00002186,7090,contaminated water
ENVO:00002001,7087,waste water
BFO:0000030,6887,object
ENVO:01001686,6887,mass of environmental material
ENVO:00000022,6844,river
ENVO:01001209,6750,wetland ecosystem
ENVO:01001899,6744,reef
ENVO:01001678,6725,fluid layer
ENVO:01001273,6580,liquid layer
ENVO:01000325,6545,aquatic layer
ENVO:01001000,6445,environmental system determined by an organism
ENVO:01000999,6313,rhizosphere environment
ENVO:01000998,6283,environmental system determined by a material
ENVO:01001405,6279,laboratory environment
ENVO:01001705,6222,temperate environment
ENVO:00000296,6048,rice field
ENVO:00002150,5529,coastal sea water
ENVO:01001785,5410,land
ENVO:01001033,5273,digestive tract environment
ENVO:00000051,5159,hot spring
ENVO:01001789,4947,freshwater ecosystem
ENVO:00000045,4895,estuary
ENVO:00000873,4694,freshwater biome
ENVO:00000035,4481,marsh
ENVO:01001805,4441,temperate forest
ENVO:01001814,4371,organic object
ENVO:01001206,4292,grassland ecosystem
ENVO:00000016,4245,sea
ENVO:00002011,4214,fresh water
ENVO:01001002,4173,animal-associated environment
ENVO:00000002,4087,anthropogenic geographic feature
ENVO:00000015,4083,ocean
ENVO:00010622,4007,vivarium
ENVO:00002123,3988,bioreactor
ENVO:00000130,3915,rocky reef
ENVO:00000533,3905,landfill
ENVO:2100002,3902,intestine environment
BFO:0000015,3894,process
ENVO:01000023,3877,marine pelagic biome
ENVO:02500000,3875,environmental system process
ENVO:01000635,3809,planetary landmass
ENVO:01000324,3809,planetary surface
ENVO:01001782,3809,landmass
PATO:0000001,3594,quality
PATO:0001241,3589,physical object quality
BFO:0000019,3589,quality
ENVO:00005802,3476,bulk soil
ENVO:00005792,3353,underground water
ENVO:00002000,3286,slope
ENVO:01000253,3266,freshwater river biome
ENVO:01001831,3252,temperate biome
ENVO:01000007,3252,organic object formed through microbial activity
ENVO:00000304,3237,shore
ENVO:01000174,3170,forest biome
ENVO:02500027,3154,anthropogenic environmental process
ENVO:01000295,3113,marine layer
ENVO:00002261,3088,forest soil
ENVO:01001029,2927,fecal environment
ENVO:01000143,2908,marine reef
PATO:0001018,2852,physical quality
ENVO:01000024,2751,marine benthic biome
ENVO:01000203,2742,environmental condition
ENVO:01000155,2708,organic material
ENVO:01000175,2699,woodland biome
ENVO:00000546,2671,lake sediment
ENVO:2100004,2647,integumental system environment
ENVO:00000469,2606,research facility
ENVO:01001004,2516,groundwater
ENVO:00000073,2507,building
ENVO:00005755,2490,field soil
